(130, 50)
(130, 49)
(130, 48)
(131, 48)
(131, 47)
(132, 47)
(133, 47)
(133, 46)
(134, 46)
(134, 45)
(135, 45)
(136, 45)
(136, 44)
(136, 43)
(136, 42)
(135, 42)
(135, 41)
(135, 40)
(134, 40)
(134, 39)
(133, 39)
(133, 38)
(133, 37)
(132, 37)
(132, 36)
(131, 36)
(131, 35)
(131, 34)
(130, 34)
(130, 33)
(130, 32)
(129, 32)
(129, 31)
(129, 30)
(128, 30)
(128, 29)
(127, 29)
(127, 28)
(127, 27)
(126, 27)
(126, 26)
(125, 26)
(125, 25)
(125, 24)
(124, 24)
(124, 23)
(124, 22)
(123, 22)
(123, 21)
(122, 21)
(122, 20)
(122, 19)
(121, 19)
(121, 18)
(120, 18)
(120, 17)
(120, 16)
(119, 16)
(118, 16)
(117, 16)
(116, 16)
(116, 17)
(115, 17)
(114, 17)
(114, 18)
(113, 18)
(112, 18)
(112, 19)
(111, 19)
(111, 20)
(110, 20)
(109, 20)
(108, 20)
(108, 21)
(107, 21)
(107, 22)
(106, 22)
(105, 22)
(105, 23)
(104, 23)
(103, 23)
(103, 24)
(102, 24)
(101, 24)
(101, 25)
(100, 25)
(99, 25)
(99, 26)
(98, 26)
(98, 27)
(97, 27)
(96, 27)
(96, 28)
(95, 28)
(94, 28)
(94, 29)
(93, 29)
(92, 29)
(92, 30)
(91, 30)
(90, 30)
(90, 31)
(89, 31)
(89, 32)
(88, 32)
(87, 32)
(87, 33)
(86, 33)
(85, 33)
(85, 34)
(84, 34)
(83, 34)
(83, 35)
(82, 35)
(81, 35)
(81, 36)
(80, 36)
(79, 36)
(79, 37)
(78, 37)
(78, 38)
(77, 38)
(76, 38)
(76, 39)
(75, 39)
(74, 39)
(74, 40)
(73, 40)
(72, 40)
(72, 41)
(71, 41)
(70, 41)
(70, 42)
(69, 42)
(68, 42)
(68, 43)
(67, 43)
(67, 44)
(66, 44)
(65, 44)
(65, 45)
(64, 45)
(63, 45)
(63, 46)
(62, 46)
(61, 46)
(61, 47)
(60, 47)
(59, 47)
(59, 48)
(58, 48)
(57, 48)
(57, 49)
(56, 49)
(56, 50)
(55, 50)
(54, 50)
(54, 51)
(53, 51)
(52, 51)
(52, 52)
(51, 52)
(50, 52)
(50, 53)
(49, 53)
(48, 53)
(48, 54)
(47, 54)
(47, 55)
(46, 55)
(45, 55)
(45, 56)
(44, 56)
(43, 56)
(43, 57)
(42, 57)
(41, 57)
(41, 58)
(40, 58)
(39, 58)
(39, 59)
(38, 59)
(38, 60)
(37, 60)
(36, 60)
(36, 61)
(35, 61)
(34, 61)
(34, 62)
(33, 62)
(32, 62)
(32, 63)
(31, 63)
(31, 64)
(30, 64)
(30, 65)
(29, 65)
(29, 66)
(28, 66)
(28, 67)
(28, 68)
(27, 68)
(27, 69)
(26, 69)
(26, 70)
(25, 70)
(25, 71)
(24, 71)
(24, 72)
(23, 72)
(23, 73)
(22, 73)
(22, 74)
(21, 74)
(21, 75)
(21, 76)
(20, 76)
(20, 77)
(19, 77)
(19, 78)
(18, 78)
(18, 79)
(17, 79)
(17, 80)
(16, 80)
(16, 81)
(15, 81)
(15, 82)
(15, 83)
